,query_number_q_01,query_number_q_02,query_number_q_03,query_number_q_04,query_number_q_05,query_number_q_06,query_number_q_07,query_number_q_08,query_number_q_09,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
251,0,0,0,0,0,0,0,1,0,2,7,1,0
252,0,0,0,0,0,0,0,1,0,2,8,0,1
253,0,0,0,0,0,0,0,1,0,2,8,1,0
254,0,0,0,0,0,0,0,1,0,3,2,0,1
255,0,0,0,0,0,0,0,1,0,3,2,1,0
256,0,0,0,0,0,0,0,1,0,3,3,0,1
257,0,0,0,0,0,0,0,1,0,3,3,1,0
258,0,0,0,0,0,0,0,1,0,3,4,0,1
259,0,0,0,0,0,0,0,1,0,3,4,1,0
260,0,0,0,0,0,0,0,1,0,2,3,0,1
261,0,0,0,0,0,0,0,1,0,3,5,0,1
262,0,0,0,0,0,0,0,1,0,3,5,1,0
263,0,0,0,0,0,0,0,1,0,3,6,0,1
264,0,0,0,0,0,0,0,1,0,3,6,1,0
265,0,0,0,0,0,0,0,1,0,3,7,0,1
266,0,0,0,0,0,0,0,1,0,3,7,1,0
267,0,0,0,0,0,0,0,1,0,3,8,0,1
268,0,0,0,0,0,0,0,1,0,3,8,1,0
269,0,0,0,0,0,0,0,1,0,4,2,0,1
270,0,0,0,0,0,0,0,1,0,4,2,1,0
271,0,0,0,0,0,0,0,1,0,2,3,1,0
272,0,0,0,0,0,0,0,1,0,4,3,0,1
273,0,0,0,0,0,0,0,1,0,4,3,1,0
274,0,0,0,0,0,0,0,1,0,4,4,0,1
275,0,0,0,0,0,0,0,1,0,4,4,1,0
276,0,0,0,0,0,0,0,1,0,4,5,0,1
277,0,0,0,0,0,0,0,1,0,4,5,1,0
278,0,0,0,0,0,0,0,1,0,2,4,0,1
279,0,0,0,0,0,0,0,1,0,2,4,1,0
280,0,0,0,0,0,0,0,1,0,2,5,0,1
281,0,0,0,0,0,0,0,1,0,2,5,1,0
282,0,0,0,0,0,0,0,1,0,2,6,0,1
283,0,0,0,0,0,0,0,1,0,2,6,1,0
284,0,0,0,0,0,0,0,0,1,2,2,0,1
285,0,0,0,0,0,0,0,0,1,2,2,1,0
286,0,0,0,0,0,0,0,0,1,2,7,0,1
287,0,0,0,0,0,0,0,0,1,2,7,1,0
288,0,0,0,0,0,0,0,0,1,2,8,0,1
289,0,0,0,0,0,0,0,0,1,2,8,1,0
290,0,0,0,0,0,0,0,0,1,3,2,0,1
291,0,0,0,0,0,0,0,0,1,3,2,1,0
292,0,0,0,0,0,0,0,0,1,3,3,0,1
293,0,0,0,0,0,0,0,0,1,3,3,1,0
294,0,0,0,0,0,0,0,0,1,3,4,0,1
295,0,0,0,0,0,0,0,0,1,3,4,1,0
296,0,0,0,0,0,0,0,0,1,2,3,0,1
297,0,0,0,0,0,0,0,0,1,3,5,0,1
298,0,0,0,0,0,0,0,0,1,3,5,1,0
299,0,0,0,0,0,0,0,0,1,3,6,0,1
300,0,0,0,0,0,0,0,0,1,3,6,1,0
301,0,0,0,0,0,0,0,0,1,3,7,0,1
302,0,0,0,0,0,0,0,0,1,3,7,1,0
303,0,0,0,0,0,0,0,0,1,3,8,0,1
304,0,0,0,0,0,0,0,0,1,3,8,1,0
305,0,0,0,0,0,0,0,0,1,4,2,0,1
306,0,0,0,0,0,0,0,0,1,4,2,1,0
307,0,0,0,0,0,0,0,0,1,2,3,1,0
308,0,0,0,0,0,0,0,0,1,4,3,0,1
309,0,0,0,0,0,0,0,0,1,4,3,1,0
310,0,0,0,0,0,0,0,0,1,4,4,0,1
311,0,0,0,0,0,0,0,0,1,4,4,1,0
312,0,0,0,0,0,0,0,0,1,4,5,0,1
313,0,0,0,0,0,0,0,0,1,4,5,1,0
314,0,0,0,0,0,0,0,0,1,2,4,0,1
315,0,0,0,0,0,0,0,0,1,2,4,1,0
316,0,0,0,0,0,0,0,0,1,2,5,0,1
317,0,0,0,0,0,0,0,0,1,2,5,1,0
318,0,0,0,0,0,0,0,0,1,2,6,1,0
